05-05-2021 03:41:46.351,-,SERIAL,"COM5 - 9600/8/N/1/N"
05-05-2021 01:15:59.947,382,SENT,6E
05-05-2021 01:15:59.978,383,RECV,6E
05-05-2021 01:16:00.713,384,SENT,65
05-05-2021 01:16:00.728,385,RECV,65
05-05-2021 01:16:02.287,386,SENT,3D
05-05-2021 01:16:02.318,387,RECV,3D
05-05-2021 01:16:02.505,388,SENT,36
05-05-2021 01:16:02.567,389,RECV,36
05-05-2021 01:16:03.271,390,SENT,0D
05-05-2021 01:16:03.318,391,RECV,0D0D0A4F4B0D0A
05-05-2021 01:16:20.324,392,SENT,61
05-05-2021 01:16:20.354,393,RECV,61
05-05-2021 01:16:20.526,394,SENT,74
05-05-2021 01:16:20.542,395,RECV,74
05-05-2021 01:16:21.495,396,SENT,2B
05-05-2021 01:16:21.542,397,RECV,2B
05-05-2021 01:16:21.952,398,SENT,63
05-05-2021 01:16:21.983,399,RECV,63
05-05-2021 01:16:22.076,400,SENT,70
05-05-2021 01:16:22.108,401,RECV,70
05-05-2021 01:16:22.280,402,SENT,74
05-05-2021 01:16:22.295,403,RECV,74
05-05-2021 01:16:22.467,404,SENT,6F
05-05-2021 01:16:22.483,405,RECV,6F
05-05-2021 01:16:22.561,406,SENT,6E
05-05-2021 01:16:22.608,407,RECV,6E
05-05-2021 01:16:22.670,408,SENT,65
05-05-2021 01:16:22.733,409,RECV,65
05-05-2021 01:16:23.968,410,SENT,3D
05-05-2021 01:16:23.983,411,RECV,3D
05-05-2021 01:16:24.827,412,SENT,3F
05-05-2021 01:16:24.858,413,RECV,3F
05-05-2021 01:16:25.014,414,SENT,0D
05-05-2021 01:16:25.046,415,RECV,0D0D0A2B4350544F4E453A2028302D3236290D0A0D0A4F4B0D0A
05-05-2021 01:16:50.905,416,SENT,61
05-05-2021 01:16:50.936,417,RECV,61
05-05-2021 01:16:51.030,418,SENT,74
05-05-2021 01:16:51.061,419,RECV,74
05-05-2021 01:16:51.624,420,SENT,2B
05-05-2021 01:16:51.686,421,RECV,2B
05-05-2021 01:16:52.430,422,SENT,63
05-05-2021 01:16:52.445,423,RECV,63
05-05-2021 01:16:52.539,424,SENT,70
05-05-2021 01:16:52.570,425,RECV,70
05-05-2021 01:16:52.789,426,SENT,74
05-05-2021 01:16:52.820,427,RECV,74
05-05-2021 01:16:52.914,428,SENT,6F
05-05-2021 01:16:52.945,429,RECV,6F
05-05-2021 01:16:52.992,430,SENT,6E
05-05-2021 01:16:53.008,431,RECV,6E
05-05-2021 01:16:53.117,432,SENT,65
05-05-2021 01:16:53.133,433,RECV,65
05-05-2021 01:16:54.159,434,SENT,3F
05-05-2021 01:16:54.208,435,RECV,3F
05-05-2021 01:16:54.392,436,SENT,0D
05-05-2021 01:16:54.455,437,RECV,0D0D0A4552524F520D0A
05-05-2021 01:16:55.626,438,SENT,61
05-05-2021 01:16:55.642,439,RECV,61
05-05-2021 01:16:55.830,440,SENT,74
05-05-2021 01:16:55.892,441,RECV,74
05-05-2021 01:16:56.292,442,SENT,2B
05-05-2021 01:16:56.339,443,RECV,2B
05-05-2021 01:16:56.620,444,SENT,63
05-05-2021 01:16:56.651,445,RECV,63
05-05-2021 01:16:56.745,446,SENT,70
05-05-2021 01:16:56.776,447,RECV,70
05-05-2021 01:16:56.933,448,SENT,74
05-05-2021 01:16:56.964,449,RECV,74
05-05-2021 01:16:57.105,450,SENT,6F
05-05-2021 01:16:57.151,451,RECV,6F
05-05-2021 01:16:57.214,452,SENT,6E
05-05-2021 01:16:57.261,453,SENT,65
05-05-2021 01:16:57.276,454,RECV,6E65
05-05-2021 01:17:00.296,455,SENT,3D
05-05-2021 01:17:00.345,456,RECV,3D
05-05-2021 01:17:01.110,457,SENT,31
05-05-2021 01:17:01.157,458,RECV,31
05-05-2021 01:17:01.220,459,SENT,30
05-05-2021 01:17:01.282,460,RECV,30
05-05-2021 01:17:01.517,461,SENT,0D
05-05-2021 01:17:01.532,462,RECV,0D0D0A4F4B0D0A
