05-14-2021 20:49:36.550,-,SERIAL,"COM8 - 115200/8/N/1/N"
05-14-2021 20:41:21.070,9016,RECV,414142
05-14-2021 20:41:21.132,9017,RECV,370D0A
05-14-2021 20:41:22.132,9018,RECV,414142370D0A
05-14-2021 20:41:23.131,9019,RECV,414142370D0A
05-14-2021 20:41:24.131,9020,RECV,414142370D0A
05-14-2021 20:41:25.131,9021,RECV,414142370D0A
05-14-2021 20:41:26.135,9022,RECV,414142370D0A
05-14-2021 20:41:27.125,9023,RECV,414142370D0A
05-14-2021 20:41:28.125,9024,RECV,414142370D0A
05-14-2021 20:41:29.126,9025,RECV,414142370D0A
05-14-2021 20:41:30.129,9026,RECV,414142370D0A
05-14-2021 20:41:31.128,9027,RECV,414142370D0A
05-14-2021 20:41:32.129,9028,RECV,414142370D0A
05-14-2021 20:41:33.127,9029,RECV,414142370D0A
05-14-2021 20:41:34.128,9030,RECV,414142370D0A
05-14-2021 20:41:35.128,9031,RECV,414142370D0A
05-14-2021 20:41:36.128,9032,RECV,414142370D0A
05-14-2021 20:41:37.128,9033,RECV,414142370D0A
05-14-2021 20:41:38.128,9034,RECV,414142370D0A
05-14-2021 20:41:39.130,9035,RECV,414142370D0A
05-14-2021 20:41:40.133,9036,RECV,414142370D0A
05-14-2021 20:41:41.135,9037,RECV,414142370D0A
05-14-2021 20:41:42.135,9038,RECV,414142370D0A
05-14-2021 20:41:43.131,9039,RECV,414142370D0A
05-14-2021 20:41:44.136,9040,RECV,414142370D0A
05-14-2021 20:41:45.143,9041,RECV,414142370D0A
05-14-2021 20:41:46.142,9042,RECV,414142370D0A
05-14-2021 20:41:47.141,9043,RECV,414142370D0A
05-14-2021 20:41:48.143,9044,RECV,414142370D0A
05-14-2021 20:41:49.146,9045,RECV,414142370D0A
05-14-2021 20:41:50.148,9046,RECV,414142370D0A
05-14-2021 20:41:51.149,9047,RECV,414142370D0A
05-14-2021 20:41:52.152,9048,RECV,414142370D0A
05-14-2021 20:41:53.160,9049,RECV,414142370D0A
05-14-2021 20:41:54.164,9050,RECV,414142370D0A
05-14-2021 20:41:55.107,9051,RECV,414142370D0A
05-14-2021 20:41:56.109,9052,RECV,414142370D0A
05-14-2021 20:41:57.113,9053,RECV,414142370D0A
05-14-2021 20:41:58.114,9054,RECV,414142370D0A
05-14-2021 20:41:59.114,9055,RECV,414142370D0A
05-14-2021 20:42:00.114,9056,RECV,414142370D0A
05-14-2021 20:42:01.119,9057,RECV,414142370D0A
05-14-2021 20:42:02.125,9058,RECV,414142370D0A
05-14-2021 20:42:03.128,9059,RECV,414142370D0A
05-14-2021 20:42:04.128,9060,RECV,414142370D0A
05-14-2021 20:42:05.139,9061,RECV,414142370D0A
05-14-2021 20:42:06.139,9062,RECV,414142370D0A
05-14-2021 20:42:07.140,9063,RECV,414142370D0A
05-14-2021 20:42:08.142,9064,RECV,414142370D0A
05-14-2021 20:42:09.143,9065,RECV,414142370D0A
05-14-2021 20:42:10.147,9066,RECV,414142370D0A
05-14-2021 20:42:11.150,9067,RECV,414142370D0A
05-14-2021 20:42:12.154,9068,RECV,414142370D0A
05-14-2021 20:42:13.156,9069,RECV,414142370D0A
